report_id,compound_id,side_effect_id,report_count,precomputed_similarity,combined_evidence,is_signal,narrative_vec
R0001,DB00996,C0009676,8.428,0.866,7.299,true,"-0.4039,0.1900,0.2988,-0.2142,-0.3664,0.0061,-0.0370,0.0129,-0.0368,0.1088,0.6246,0.1416,-0.1922,0.1846,-0.1527,0.1101"
R0002,DB00996,C0009676,8.880,0.953,8.459,true,"-0.1898,0.1557,0.2170,0.1912,0.2210,0.3872,0.1102,-0.0251,0.1659,0.2153,0.3896,-0.3284,-0.3742,-0.0724,-0.1590,0.3748"
R0003,DB00996,C0009676,8.649,0.869,7.516,true,"0.1644,0.0845,-0.0548,0.1113,-0.5258,0.3532,-0.2085,0.3584,0.2957,-0.3897,0.1774,0.2175,0.0374,0.0604,0.1554,-0.1738"
R0004,DB00273,C0004604,8.817,0.945,8.329,true,"-0.3588,-0.0978,-0.2300,0.0661,-0.3215,-0.3512,-0.3206,0.0592,0.2356,0.1255,0.5751,-0.1647,-0.1734,0.0296,-0.0851,0.0635"
R0005,DB00273,C0004604,9.329,0.859,8.012,true,"-0.0535,0.1517,0.3655,0.5680,0.0793,-0.0042,-0.1419,-0.4003,0.0484,0.1232,0.1302,0.4064,0.1287,-0.0339,0.3296,0.0729"
R0006,DB00273,C0004604,9.599,0.902,8.663,true,"-0.0974,0.2594,0.3434,0.3596,-0.3535,-0.4907,-0.0748,-0.2226,0.3114,-0.2035,0.1517,-0.2186,0.0089,-0.1061,-0.1608,0.0935"
R0007,DB01156,C0234215,8.880,0.929,8.252,true,"-0.0286,0.1088,0.1793,0.6194,-0.3609,0.1039,-0.0782,0.0225,0.0004,-0.0402,0.1343,-0.3671,-0.1638,0.0341,-0.3474,-0.3475"
R0008,DB01156,C0234215,9.691,0.950,9.206,true,"-0.0669,-0.2450,0.1896,0.4768,-0.3012,-0.3501,-0.0464,-0.1121,0.2798,-0.0062,-0.0325,-0.3771,0.3694,0.1909,0.0365,-0.2199"
R0009,DB01156,C0234215,9.500,0.958,9.104,true,"0.3330,0.0217,-0.3416,0.3470,0.0563,-0.3069,-0.4021,-0.3139,-0.0463,-0.2321,0.1778,0.1423,-0.1469,-0.0835,-0.3188,-0.2368"
R0010,DB00537,C0231218,8.762,0.805,7.053,true,"0.0367,-0.3581,-0.2809,0.0635,-0.3493,0.3630,0.3789,-0.1469,0.0886,-0.2315,0.4249,-0.1348,-0.0275,0.1472,-0.1023,0.2747"
R0011,DB00537,C0231218,8.853,0.871,7.715,true,"0.1945,0.1672,0.3163,0.0800,-0.3824,-0.3046,-0.3651,-0.3280,0.2086,-0.4217,0.2255,-0.1997,-0.1872,0.0092,0.0235,0.0074"
R0012,DB00537,C0231218,8.468,0.780,6.607,true,"0.1557,-0.2939,0.0155,0.2401,-0.0616,-0.0663,-0.2281,0.2805,0.4143,0.4893,0.0546,-0.2001,0.1359,-0.1570,-0.1396,-0.4194"
R0013,DB00445,C0013404,9.533,0.950,9.055,true,"-0.4246,-0.2463,0.1819,0.1197,-0.1411,-0.4433,0.0289,-0.0161,0.4693,-0.2424,-0.2693,-0.1206,-0.1716,-0.1750,-0.2538,-0.0599"
R0014,DB00445,C0013404,8.742,0.911,7.961,true,"0.3442,-0.0801,0.2730,-0.2808,-0.1869,-0.1789,-0.2528,0.2369,0.4020,-0.0135,-0.2492,-0.1677,-0.3006,0.2834,-0.0097,0.3345"
R0015,DB00445,C0013404,9.364,0.881,8.247,true,"-0.2393,0.3651,0.1181,0.3187,-0.0180,0.0759,-0.2390,-0.2795,0.0001,-0.1848,-0.0853,0.0324,0.3328,-0.3975,0.4198,-0.2552"
R0016,DB00688,C0039070,9.212,0.894,8.235,true,"0.0156,0.4197,0.2996,0.2984,-0.4845,-0.1508,-0.0047,-0.3595,0.2972,-0.1725,0.1637,-0.3195,-0.0477,0.0451,0.0812,0.0151"
R0017,DB00688,C0039070,8.273,0.810,6.697,true,"-0.2188,0.3342,0.1886,0.3657,0.3708,-0.0504,-0.2611,0.1112,-0.2644,0.0086,0.1242,0.0583,0.0540,0.2740,-0.4726,-0.2458"
R0018,DB00688,C0039070,8.331,0.834,6.946,true,"0.1185,-0.3060,-0.2843,0.1584,-0.1791,-0.4021,0.1069,0.0393,0.2928,0.0931,-0.2369,-0.2748,-0.0500,0.2607,-0.2107,0.4886"
R0019,DB00413,C0030554,9.329,0.958,8.941,true,"0.0638,0.1706,0.1185,0.2600,-0.2730,-0.2877,0.0383,0.0997,0.2999,0.0571,0.1081,-0.3749,-0.2677,-0.0066,0.1813,-0.6054"
R0020,DB00413,C0030554,9.521,0.870,8.282,true,"-0.3138,0.0668,0.4599,0.1001,-0.3046,-0.2220,-0.4001,0.2001,0.0790,-0.0768,0.3874,0.0535,0.2445,-0.0717,-0.3033,-0.1065"
R0021,DB00413,C0030554,8.298,0.874,7.249,true,"-0.5428,-0.0902,0.1965,-0.2776,0.0504,0.1602,-0.0768,-0.1433,-0.1010,-0.5580,0.1223,-0.0433,-0.1361,-0.3893,-0.0338,0.1313"
R0022,DB01238,C0015967,8.342,0.846,7.055,true,"-0.0754,0.2754,-0.1030,0.0265,-0.5008,0.3446,-0.0337,0.0679,0.3669,-0.1793,0.1890,-0.3130,-0.2736,-0.1147,0.1577,-0.3442"
R0023,DB01238,C0015967,8.864,0.906,8.033,true,"0.2426,-0.1042,0.5305,-0.0123,-0.0227,0.1937,-0.3504,-0.0258,0.1674,0.1852,0.4868,0.1706,-0.2805,0.1051,-0.1394,-0.2227"
R0024,DB01238,C0015967,9.712,0.807,7.842,true,"-0.3089,0.2389,-0.2305,-0.0333,-0.2462,-0.2788,0.2315,-0.1731,0.1291,0.0275,0.2547,-0.1042,-0.3562,-0.2588,0.3798,-0.3743"
R0025,DB01229,C0011603,3.698,0.393,1.454,false,"0.2884,0.0487,0.1618,-0.2941,-0.0044,0.2826,0.4025,-0.3814,-0.3354,0.0565,-0.0135,-0.3044,0.2113,0.2526,-0.1098,-0.2922"
R0026,DB00734,C0011603,3.498,0.265,0.928,false,"0.1836,-0.0534,0.1370,-0.1089,0.2457,0.3958,0.2301,0.0534,0.1166,-0.4367,-0.0778,-0.0199,0.1821,0.2168,0.6062,-0.0403"
R0027,DB00176,C0020458,3.737,0.290,1.082,false,"-0.1387,0.1372,-0.4573,-0.3595,0.2179,-0.0774,-0.2505,-0.2178,-0.1580,0.1185,-0.4141,0.2724,0.1155,0.1094,-0.1117,-0.3708"
R0028,DB00783,C0013404,2.611,0.361,0.944,false,"0.3462,-0.0006,-0.3721,-0.1720,-0.0715,-0.0932,0.4410,0.2959,-0.1349,0.0613,0.0506,-0.2005,0.5710,0.0717,-0.0581,0.1304"
R0029,DB00997,C0009806,3.904,0.242,0.946,false,"-0.1079,0.0797,0.5683,-0.2254,-0.1025,0.1252,-0.1707,-0.1812,-0.3049,-0.3651,0.0036,-0.0890,-0.3936,0.3613,-0.0115,0.0143"
R0030,DB00215,C0010200,3.817,0.331,1.262,false,"0.3981,0.2069,0.0033,0.2456,0.2382,-0.3029,-0.1567,-0.3602,0.1308,-0.1251,0.0930,-0.1332,-0.3006,0.1185,-0.4057,0.3277"
R0031,DB01238,C0004093,3.399,0.375,1.273,false,"0.0700,0.3281,-0.3449,-0.5205,-0.1591,-0.4157,0.0524,-0.1225,-0.2490,0.1186,0.1227,0.2833,0.2704,-0.1468,0.0325,0.1205"
R0032,DB00813,C0009763,3.961,0.379,1.501,false,"0.1315,-0.4655,-0.2517,0.2743,-0.3490,0.1356,-0.0587,-0.4025,0.2122,0.0576,-0.3669,-0.1348,0.1934,0.1591,0.0965,0.2206"
R0033,DB01175,C0004604,3.442,0.236,0.814,false,"-0.4482,0.1943,0.2113,-0.1774,-0.1941,-0.3501,0.0486,-0.1244,-0.3269,-0.0494,-0.2684,-0.1029,-0.2736,-0.2282,-0.4326,-0.0329"
R0034,DB01238,C0004093,3.157,0.221,0.696,false,"0.2173,-0.0103,-0.3516,0.0804,0.1989,-0.0527,-0.3680,0.4723,0.0248,-0.0632,-0.1744,0.1824,-0.5099,-0.0739,0.1945,-0.2242"
R0035,DB00176,C0231218,3.912,0.249,0.972,false,"-0.2976,-0.1959,-0.1598,-0.4493,-0.3071,0.1410,-0.1448,0.1824,-0.1245,0.1923,0.0513,0.4311,0.1810,0.4174,-0.0093,0.1708"
