compound_id,gene_id
DB01238,1565
DB01238,1812
DB01238,3350
DB01238,3356
DB01238,1129
DB01238,3358
DB01238,148
DB01238,1816
DB01238,150
DB01238,5243
DB01238,3351
DB01238,1131
DB01238,1132
DB01238,3269
DB01238,1576
DB01238,151
DB01238,1128
DB01238,1551
DB01238,3757
DB01238,147
DB01238,3363
DB01238,1577
DB01238,1813
DB01238,1814
DB01238,1815
DB01238,6532
DB01238,3357
DB01238,3352
DB01238,1133
DB01238,152
DB01238,100861540
DB01238,3005
DB00230,781
DB00230,9254
DB00215,1128
DB00215,1557
DB00215,3269
DB00215,1576
DB00215,1565
DB00215,148
DB00215,6532
DB00215,6531
DB00215,3358
DB00215,1544
DB00215,1555
DB00215,6530
DB00215,5243
DB00215,1571
DB01175,3269
DB01175,1557
DB01175,6531
DB01175,148
DB01175,6532
DB01175,1576
DB01175,6530
DB01175,1565
DB01175,3358
DB01175,1128
DB00268,1565
DB00268,3356
DB00268,152
DB00268,1812
DB00268,3352
DB00268,1815
DB00268,151
DB00268,3350
DB00268,1816
DB00268,3351
DB00268,3357
DB00268,3358
DB00268,1544
DB00268,150
DB00268,1813
DB00268,1814
DB00268,1576
DB00734,3357
DB00734,1814
DB00734,3356
DB00734,5243
DB00734,3352
DB00734,3757
DB00734,1815
DB00734,1551
DB00734,151
DB00734,147
DB00734,3358
DB00734,148
DB00734,1813
DB00734,1577
DB00734,3351
DB00734,3363
DB00734,1812
DB00734,1565
DB00734,3269
DB00734,100861540
DB00734,152
DB00734,150
DB00734,3350
DB00734,3005
DB00734,1576
DB00413,3350
DB00413,1815
DB00413,1814
DB00413,3351
DB00413,1813
DB00413,3358
DB00413,1816
DB00413,152
DB00413,150
DB00413,3352
DB00413,6582
DB00413,1812
DB00413,151
DB00413,3356
DB00413,6580
DB00413,3357
DB00715,1132
DB00715,5243
DB00715,1558
DB00715,1559
DB00715,1131
DB00715,6530
DB00715,1133
DB00715,3356
DB00715,1555
DB00715,6532
DB00715,1129
DB00715,1565
DB00715,6531
DB00715,1128
DB00193,6532
DB00193,4985
DB00193,6530
DB00193,1565
DB00193,3358
DB00193,4988
DB00193,1576
DB00193,4986
DB00193,1131
DB00193,1555
DB00188,1543
DB00188,1557
DB00188,1558
DB00188,1565
DB00188,1559
DB00188,1544
DB00188,1576
DB00285,6532
DB00285,1565
DB00285,1559
DB00285,5243
DB00285,1576
DB00285,1557
DB00285,6531
DB00285,6530
DB00285,9429
DB00285,1555
DB00864,1576
DB00864,213
DB00864,100861540
DB00864,1577
DB00864,5243
DB00864,1551
DB00864,5004
DB00472,1559
DB00472,6532
DB00472,6530
DB00472,1555
DB00472,1577
DB00472,10280
DB00472,5243
DB00472,1544
DB00472,5004
DB00472,3358
DB00472,213
DB00472,1565
DB00472,3356
DB00472,1576
DB00472,1557
DB00273,1557
DB00273,1576
DB00997,1555
DB00997,6790
DB00997,8647
DB00997,1244
DB00997,89845
DB00997,5243
DB00997,7153
DB00997,1545
DB00997,1565
DB00997,9429
DB00997,1576
DB00997,4363
DB01156,1576
DB01156,6530
DB01156,1558
DB01156,1555
DB01156,1559
DB01156,5004
DB01156,1565
DB01156,1544
DB01156,6531
DB01156,1571
DB00813,100861540
DB00813,4986
DB00813,5243
DB00813,1551
DB00813,4988
DB00813,4985
DB00813,1576
DB00813,1577
DB00996,781
DB00996,9254
DB00537,1551
DB00537,1576
DB00537,5243
DB00537,1544
DB00537,7153
DB00537,100861540
DB00537,1577
DB00445,6790
DB00445,4363
DB00445,7153
DB00688,5243
DB00688,9429
DB00688,1558
DB00688,213
DB00688,1244
DB00688,1577
DB00688,28234
DB00688,1576
DB00480,5243
DB01165,4363
DB01165,7153
DB01165,1244
DB01165,1544
DB01137,7153
DB01137,5243
DB01137,1544
DB01137,6582
DB01137,1576
DB01101,1559
DB00783,1576
DB00783,1559
DB00783,213
DB00783,28234
DB00783,1577
DB00783,1557
DB00783,1558
DB00783,6580
DB00783,6582
DB00783,89845
DB00783,5243
DB00783,1551
DB00783,1545
DB00783,9429
DB00783,1544
DB00783,100861540
DB00783,1543
DB00755,1551
DB00755,1558
DB00755,1577
DB00755,100861540
DB00755,1576
DB00755,1559
DB00755,1555
DB00755,1543
DB00176,10280
DB00176,1555
DB00176,1557
DB00176,6531
DB00176,5243
DB00176,1576
DB00176,1543
DB00176,1571
DB00176,1559
DB00176,1544
DB00176,100861540
DB00176,6532
DB00176,1551
DB00176,1565
DB00176,1577
DB00989,1576
DB00989,1565
DB01229,28234
DB01229,1576
DB01229,100861540
DB01229,1577
DB01229,9429
DB01229,1551
DB01229,1545
DB01229,89845
DB01229,4363
DB01229,1558
DB01229,5243
DB01229,8647
DB01229,1559
DB01229,1244
