compound_id,side_effect_id
DB01238,C0033774
DB01238,C0004093
DB01238,C0015967
DB00230,C0009806
DB00230,C0015230
DB00230,C0234215
DB00215,C0020538
DB00215,C0010200
DB00215,C0016204
DB01175,C0042963
DB01175,C0033774
DB01175,C0004604
DB00268,C0948594
DB00268,C0011603
DB00268,C0008031
DB00734,C0085593
DB00734,C0011603
DB00734,C0232462
DB00413,C0232462
DB00413,C0030554
DB00413,C0687713
DB00715,C0010200
DB00715,C0039231
DB00715,C0000737
DB00193,C0004093
DB00193,C0036974
DB00193,C0018681
DB00188,C0030252
DB00188,C0040264
DB00188,C0013404
DB00285,C0032285
DB00285,C0231218
DB00285,C0016204
DB00864,C0016204
DB00864,C0036974
DB00864,C0231528
DB00472,C0011168
DB00472,C0000737
DB00472,C0030252
DB00273,C0004604
DB00273,C0009676
DB00273,C0015967
DB00997,C0042109
DB00997,C0030252
DB00997,C0009806
DB01156,C0011603
DB01156,C0039070
DB01156,C0234215
DB00813,C0009763
DB00813,C0015967
DB00813,C0033774
DB00996,C0009676
DB00996,C0020458
DB00996,C0016204
DB00537,C0231218
DB00537,C0014591
DB00537,C0020538
DB00445,C0020458
DB00445,C0013404
DB00445,C0948594
DB00688,C0039231
DB00688,C0039070
DB00688,C0020580
DB00480,C0020538
DB00480,C0027497
DB00480,C0003467
DB01165,C0032285
DB01165,C0039231
DB01165,C0003862
DB01137,C0011991
DB01137,C0234215
DB01137,C0032285
DB01101,C0009763
DB01101,C0033774
DB01101,C0004604
DB00783,C0010200
DB00783,C0013404
DB00783,C0917801
DB00755,C0085593
DB00755,C0030252
DB00755,C0042109
DB00176,C0004093
DB00176,C0020458
DB00176,C0231218
DB00989,C0231528
DB00989,C0009676
DB00989,C0030252
DB01229,C0010200
DB01229,C0033774
DB01229,C0011603
