compound_id,name,hetionet_id
DB01238,Aripiprazole,Compound::DB01238
DB00230,Pregabalin,Compound::DB00230
DB00215,Citalopram,Compound::DB00215
DB01175,Escitalopram,Compound::DB01175
DB00268,Ropinirole,Compound::DB00268
DB00734,Risperidone,Compound::DB00734
DB00413,Pramipexole,Compound::DB00413
DB00715,Paroxetine,Compound::DB00715
DB00193,Tramadol,Compound::DB00193
DB00188,Bortezomib,Compound::DB00188
DB00285,Venlafaxine,Compound::DB00285
DB00864,Tacrolimus,Compound::DB00864
DB00472,Fluoxetine,Compound::DB00472
DB00273,Topiramate,Compound::DB00273
DB00997,Doxorubicin,Compound::DB00997
DB01156,Bupropion,Compound::DB01156
DB00813,Fentanyl,Compound::DB00813
DB00996,Gabapentin,Compound::DB00996
DB00537,Ciprofloxacin,Compound::DB00537
DB00445,Epirubicin,Compound::DB00445
DB00688,Mycophenolate mofetil,Compound::DB00688
DB00480,Lenalidomide,Compound::DB00480
DB01165,Ofloxacin,Compound::DB01165
DB01137,Levofloxacin,Compound::DB01137
DB01101,Capecitabine,Compound::DB01101
DB00783,Estradiol,Compound::DB00783
DB00755,Tretinoin,Compound::DB00755
DB00176,Fluvoxamine,Compound::DB00176
DB00989,Rivastigmine,Compound::DB00989
DB01229,Paclitaxel,Compound::DB01229
