gene_id,name
1576,CYP3A4
5243,ABCB1
1565,CYP2D6
1577,CYP3A5
1544,CYP1A2
1559,CYP2C9
1551,CYP3A7
100861540,CYP3A7-CYP3A51P
1555,CYP2B6
3358,HTR2C
6532,SLC6A4
1557,CYP2C19
6530,SLC6A2
1558,CYP2C8
3356,HTR2A
6531,SLC6A3
9429,ABCG2
7153,TOP2A
1812,DRD1
3350,HTR1A
148,ADRA1A
150,ADRA2A
3351,HTR1B
3269,HRH1
151,ADRA2B
1128,CHRM1
1813,DRD2
1814,DRD3
1815,DRD4
3357,HTR2B
3352,HTR1D
152,ADRA2C
1543,CYP1A1
213,ALB
1244,ABCC2
4363,ABCC1
1816,DRD5
1131,CHRM3
1571,CYP2E1
6582,SLC22A2
5004,ORM1
89845,ABCC10
1545,CYP1B1
28234,SLCO1B3
1129,CHRM2
1132,CHRM4
3757,KCNH2
147,ADRA1B
3363,HTR7
1133,CHRM5
3005,H1F0
781,CACNA2D1
9254,CACNA2D2
6580,SLC22A1
4985,OPRD1
4988,OPRM1
4986,OPRK1
10280,SIGMAR1
6790,AURKA
8647,ABCB11
