gene_id,pathway_id
1576,WP43_r84102
1576,WP299_r78587
1576,PC7_5322
1576,WP691_r79986
1576,PC7_8790
1576,WP206_r68882
1576,WP229_r68389
1576,PC7_2098
1576,WP702_r73516
1576,WP2875_r79890
1576,PC7_6432
1576,WP465_r79226
1576,PC7_2905
5243,WP2875_r79890
5243,WP299_r78587
5243,PC7_8339
5243,PC7_5322
1565,PC7_5322
1565,WP3298_r84382
1565,PC7_2905
1565,WP691_r79986
1565,PC7_6432
1565,PC7_8790
1565,WP702_r73516
1565,WP43_r84102
1565,PC7_2098
1565,PC7_2379
1565,WP206_r68882
1577,WP229_r68389
1577,PC7_8790
1577,PC7_2905
1577,PC7_2098
1577,PC7_6432
1577,WP691_r79986
1577,PC7_5322
1577,WP2875_r79890
1577,WP43_r84102
1577,WP702_r73516
1544,PC7_5322
1544,PC7_8790
1544,PC7_7761
1544,WP702_r73516
1544,WP299_r78587
1544,PC7_6432
1544,WP43_r84102
1544,PC7_5326
1544,WP465_r79226
1544,WP206_r68882
1544,PC7_1693
1544,WP3298_r84382
1544,WP691_r79986
1544,PC7_2905
1544,PC7_2098
1544,PC7_7726
1559,PC7_8790
1559,PC7_2098
1559,WP43_r84102
1559,PC7_5322
1559,WP299_r78587
1559,WP2875_r79890
1559,PC7_7761
1559,WP691_r79986
1559,PC7_1693
1559,PC7_5326
1559,PC7_7726
1559,WP702_r73516
1559,PC7_6432
1559,PC7_2379
1559,PC7_2905
1551,PC7_2098
1551,PC7_5322
1551,PC7_6432
1551,PC7_2905
1551,WP43_r84102
1551,PC7_8790
1551,WP702_r73516
1555,PC7_8790
1555,WP702_r73516
1555,WP43_r84102
1555,PC7_6432
1555,WP2875_r79890
1555,PC7_5322
1555,PC7_2379
1555,PC7_2098
1555,PC7_2905
1555,WP299_r78587
3358,PC7_1624
3358,PC7_3993
3358,PC7_4044
3358,PC7_4107
3358,PC7_7439
3358,PC7_7432
3358,PC7_7457
3358,PC7_4043
3358,PC7_2620
3358,WP455_r81793
3358,WP58_r80015
6532,WP706_r80056
6532,WP3594_r84573
1557,PC7_2379
1557,WP702_r73516
1557,WP691_r79986
1557,PC7_1693
1557,PC7_5322
1557,WP2875_r79890
1557,PC7_6432
1557,PC7_8790
1557,PC7_2905
1557,PC7_2098
1557,WP43_r84102
1557,PC7_7761
1557,PC7_5326
1557,PC7_7726
1557,WP3298_r84382
6530,PC7_7290
6530,PC7_8339
1558,WP691_r79986
1558,PC7_5322
1558,PC7_5326
1558,PC7_7761
1558,PC7_6432
1558,PC7_2905
1558,PC7_8790
1558,WP43_r84102
1558,PC7_7726
1558,PC7_1693
1558,WP702_r73516
1558,PC7_2379
1558,PC7_2098
3356,WP58_r80015
3356,WP706_r80056
3356,PC7_4107
3356,PC7_1624
3356,PC7_7457
3356,PC7_4044
3356,PC7_3993
3356,PC7_4043
3356,PC7_7432
