side_effect_id,meddra_term
C0033774,Pruritus
C0004093,Asthenia
C0015967,Body temperature increased
C0231528,Myalgia
C0687713,Gastrointestinal pain
C0015230,Rash
C0011991,Diarrhoea
C0032285,Pneumonia
C0020580,Hypoaesthesia
C0039070,Syncope
C0041657,Loss of consciousness
C0020517,Hypersensitivity
C0011603,Dermatitis
C0042963,Vomiting
C0234215,Discomfort
C0013404,Dyspnoea
C0027497,Nausea
C0040264,Tinnitus
C0009806,Constipation
C0009676,Confusional state
C0004604,Back pain
C0018681,Headache
C0030554,Paraesthesia
C0085593,Chills
C0009763,Conjunctivitis
C0008031,Chest pain
C0003862,Arthralgia
C0231218,Malaise
C0016204,Flatulence
C0000737,Abdominal pain
C0036974,Shock
C0042109,Urticaria
C0014591,Epistaxis
C0030252,Palpitations
C0917801,Insomnia
C0948594,Musculoskeletal discomfort
C0030193,Pain
C0232462,Decreased appetite
C2047937,Ill-defined disorder
C0020458,Hyperhidrosis
C0011168,Dysphagia
C0020538,Hypertension
C0012833,Dizziness
C1443060,Feeling abnormal
C0039231,Tachycardia
C0010200,Cough
C3665347,Visual impairment
C0003467,Anxiety
C0017152,Gastritis
C0040034,Thrombocytopenia
C0020649,Hypotension
C0004936,Mental disorder
C0042023,Pollakiuria
C0043096,Weight decreased
C0019080,Haemorrhage
C0031350,Pharyngitis
C0042571,Vertigo
C0015672,Fatigue
C0020456,Hyperglycaemia
C0017178,Gastrointestinal disorder
