pair_id,drug_a_id,drug_b_id,shared_targets,is_dangerous
PR0001,DB01268,DB06616,16,true
PR0002,DB01268,DB08865,17,true
PR0003,DB01268,DB01254,17,true
PR0004,DB01268,DB00398,18,true
PR0005,DB01268,DB00536,1,false
PR0006,DB01268,DB04868,11,true
PR0007,DB01268,DB00321,3,true
PR0008,DB01268,DB05294,14,true
PR0009,DB01268,DB08877,6,true
PR0010,DB01268,DB01159,1,false
PR0011,DB01268,DB00143,2,true
PR0012,DB01268,DB06637,1,false
PR0013,DB01268,DB00661,9,true
PR0014,DB01268,DB00363,2,true
PR0015,DB01268,DB06589,14,true
PR0016,DB01268,DB00334,2,true
PR0017,DB01268,DB00619,11,true
PR0018,DB01268,DB00458,5,true
PR0019,DB01268,DB01238,6,true
PR0020,DB01268,DB00783,6,true
PR0021,DB01268,DB00171,2,true
PR0022,DB01268,DB00909,1,false
PR0023,DB01268,DB00246,5,true
PR0024,DB01268,DB01224,5,true
PR0025,DB01268,DB00477,3,true
PR0026,DB01268,DB01236,1,false
PR0027,DB01268,DB00997,4,true
PR0028,DB01268,DB00829,5,true
PR0029,DB01268,DB00184,1,false
PR0030,DB01268,DB01151,2,true
PR0031,DB01268,DB00530,10,true
PR0032,DB01268,DB00675,7,true
PR0033,DB01268,DB00328,3,true
PR0034,DB01268,DB00563,4,true
PR0035,DB06616,DB08865,18,true
PR0036,DB06616,DB01254,17,true
PR0037,DB06616,DB00398,8,true
PR0038,DB06616,DB04868,12,true
PR0039,DB06616,DB00321,2,true
PR0040,DB06616,DB05294,15,true
PR0041,DB06616,DB08877,5,true
PR0042,DB06616,DB01159,1,false
PR0043,DB06616,DB00661,2,true
PR0044,DB06616,DB00363,2,true
PR0045,DB06616,DB06589,11,true
PR0046,DB06616,DB00334,2,true
PR0047,DB06616,DB00619,8,true
PR0048,DB06616,DB00458,2,true
PR0049,DB06616,DB01238,2,true
PR0050,DB06616,DB00783,2,true
PR0051,DB06616,DB00171,3,true
PR0052,DB06616,DB00909,1,false
PR0053,DB06616,DB00246,1,false
PR0054,DB06616,DB01224,2,true
PR0055,DB06616,DB00477,2,true
PR0056,DB06616,DB01236,1,false
PR0057,DB06616,DB00997,2,true
PR0058,DB06616,DB00829,2,true
PR0059,DB06616,DB00184,1,false
PR0060,DB06616,DB01151,2,true
PR0061,DB06616,DB00530,9,true
PR0062,DB06616,DB00675,2,true
PR0063,DB06616,DB00328,1,false
PR0064,DB06616,DB00563,1,false
PR0065,DB08865,DB01254,17,true
PR0066,DB08865,DB00398,9,true
PR0067,DB08865,DB04868,12,true
PR0068,DB08865,DB00321,3,true
PR0069,DB08865,DB05294,17,true
PR0070,DB08865,DB08877,6,true
PR0071,DB08865,DB01159,1,false
PR0072,DB08865,DB00661,3,true
PR0073,DB08865,DB00363,2,true
PR0074,DB08865,DB06589,11,true
PR0075,DB08865,DB00334,2,true
PR0076,DB08865,DB00619,7,true
PR0077,DB08865,DB00458,2,true
PR0078,DB08865,DB01238,3,true
PR0079,DB08865,DB00783,3,true
PR0080,DB08865,DB00171,3,true
PR0081,DB08865,DB00909,1,false
PR0082,DB08865,DB00246,2,true
PR0083,DB08865,DB01224,3,true
PR0084,DB08865,DB00477,2,true
PR0085,DB08865,DB01236,1,false
PR0086,DB08865,DB00997,2,true
PR0087,DB08865,DB00829,3,true
PR0088,DB08865,DB00184,1,false
PR0089,DB08865,DB01151,2,true
PR0090,DB08865,DB00530,10,true
PR0091,DB08865,DB00675,3,true
PR0092,DB08865,DB00328,1,false
PR0093,DB08865,DB00563,1,false
PR0094,DB01254,DB00398,12,true
PR0095,DB01254,DB04868,16,true
PR0096,DB01254,DB00321,4,true
PR0097,DB01254,DB05294,16,true
PR0098,DB01254,DB08877,4,true
PR0099,DB01254,DB01159,1,false
PR0100,DB01254,DB00661,5,true
PR0101,DB01254,DB00363,6,true
PR0102,DB01254,DB06589,14,true
PR0103,DB01254,DB00334,4,true
PR0104,DB01254,DB00619,12,true
PR0105,DB01254,DB00458,3,true
PR0106,DB01254,DB01238,3,true
PR0107,DB01254,DB00783,7,true
PR0108,DB01254,DB00171,3,true
PR0109,DB01254,DB00909,1,false
PR0110,DB01254,DB00246,3,true
PR0111,DB01254,DB01224,3,true
PR0112,DB01254,DB00477,3,true
PR0113,DB01254,DB01236,1,false
PR0114,DB01254,DB00997,4,true
PR0115,DB01254,DB00829,4,true
PR0116,DB01254,DB00184,3,true
PR0117,DB01254,DB01151,3,true
PR0118,DB01254,DB00530,11,true
PR0119,DB01254,DB00675,8,true
PR0120,DB01254,DB00328,1,false
PR0121,DB01254,DB00563,2,true
PR0122,DB00331,DB00536,3,true
PR0123,DB00331,DB00661,1,false
PR0124,DB00331,DB00619,2,true
PR0125,DB00331,DB00458,3,true
PR0126,DB00331,DB00783,3,true
PR0127,DB00331,DB00477,1,false
PR0128,DB00331,DB00184,3,true
PR0129,DB00331,DB01151,3,true
PR0130,DB00331,DB00122,3,true
PR0131,DB00398,DB04868,15,true
PR0132,DB00398,DB00321,10,true
PR0133,DB00398,DB05294,9,true
PR0134,DB00398,DB08877,2,true
PR0135,DB00398,DB01159,4,true
PR0136,DB00398,DB00143,2,true
PR0137,DB00398,DB00661,14,true
PR0138,DB00398,DB00363,8,true
PR0139,DB00398,DB06589,15,true
PR0140,DB00398,DB00334,7,true
PR0141,DB00398,DB00619,15,true
