drug_id,name,hetionet_id
DB01268,Sunitinib,Compound::DB01268
DB06616,Bosutinib,Compound::DB06616
DB08865,Crizotinib,Compound::DB08865
DB01254,Dasatinib,Compound::DB01254
DB00331,Metformin,Compound::DB00331
DB00398,Sorafenib,Compound::DB00398
DB00536,Guanidine,Compound::DB00536
DB04868,Nilotinib,Compound::DB04868
DB00321,Amitriptyline,Compound::DB00321
DB05294,Vandetanib,Compound::DB05294
DB08877,Ruxolitinib,Compound::DB08877
DB01159,Halothane,Compound::DB01159
DB00143,Glutathione,Compound::DB00143
DB06637,Dalfampridine,Compound::DB06637
DB00661,Verapamil,Compound::DB00661
DB00363,Clozapine,Compound::DB00363
DB06589,Pazopanib,Compound::DB06589
DB00334,Olanzapine,Compound::DB00334
DB00619,Imatinib,Compound::DB00619
DB00458,Imipramine,Compound::DB00458
DB01238,Aripiprazole,Compound::DB01238
DB00783,Estradiol,Compound::DB00783
DB00171,Adenosine triphosphate,Compound::DB00171
DB00909,Zonisamide,Compound::DB00909
DB00753,Isoflurane,Compound::DB00753
DB00246,Ziprasidone,Compound::DB00246
DB01224,Quetiapine,Compound::DB01224
DB00477,Chlorpromazine,Compound::DB00477
DB01236,Sevoflurane,Compound::DB01236
DB00997,Doxorubicin,Compound::DB00997
DB00829,Diazepam,Compound::DB00829
DB00184,Nicotine,Compound::DB00184
DB00408,Loxapine,Compound::DB00408
DB01151,Desipramine,Compound::DB01151
DB00145,Glycine,Compound::DB00145
DB00530,Erlotinib,Compound::DB00530
DB00675,Tamoxifen,Compound::DB00675
DB00328,Indomethacin,Compound::DB00328
DB00122,Choline,Compound::DB00122
DB00563,Methotrexate,Compound::DB00563
