gene_id,name
1576,CYP3A4
5243,ABCB1
1565,CYP2D6
1544,CYP1A2
1557,CYP2C19
1577,CYP3A5
9429,ABCG2
1555,CYP2B6
1559,CYP2C9
213,ALB
1571,CYP2E1
100861540,CYP3A7-CYP3A51P
1551,CYP3A7
1558,CYP2C8
3358,HTR2C
6580,SLC22A1
3356,HTR2A
3350,HTR1A
1131,CHRM3
1813,DRD2
1129,CHRM2
3269,HRH1
1128,CHRM1
80122,MAP3K19
1244,ABCC2
147,ADRA1B
148,ADRA1A
3363,HTR7
3362,HTR6
1133,CHRM5
1132,CHRM4
1436,CSF1R
5159,PDGFRB
3757,KCNH2
5607,MAP2K5
25,ABL1
27,ABL2
6582,SLC22A2
1814,DRD3
150,ADRA2A
6793,STK10
2051,EPHB6
3932,LCK
6581,SLC22A3
3352,HTR1D
3351,HTR1B
6532,SLC6A4
5004,ORM1
1815,DRD4
1812,DRD1
640,BLK
2268,FGR
3815,KIT
10746,MAP3K2
10257,ABCC4
5156,PDGFRA
4067,LYN
1543,CYP1A1
1545,CYP1B1
54658,UGT1A1
6583,SLC22A4
4363,ABCC1
1548,CYP2A6
3354,HTR1E
151,ADRA2B
152,ADRA2C
3359,HTR3A
1816,DRD5
147746,HIPK4
4215,MAP3K3
2322,FLT3
9748,SLK
7525,YES1
51347,TAOK3
10733,PLK4
11183,MAP4K5
2046,EPHA8
285220,EPHA6
2328,FMO3
6584,SLC22A5
