claim_id,element_id
Pat1-C1,CE-Pat1-C1-01
Pat1-C1,CE-Pat1-C1-02
Pat1-C1,CE-Pat1-C1-03
Pat1-C2,CE-Pat1-C2-01
Pat1-C2,CE-Pat1-C2-02
Pat1-C3,CE-Pat1-C3-01
Pat1-C3,CE-Pat1-C3-02
Pat1-C3,CE-Pat1-C3-03
Pat1-C4,CE-Pat1-C4-01
Pat1-C4,CE-Pat1-C4-02
Pat2-C1,CE-Pat2-C1-01
Pat2-C1,CE-Pat2-C1-02
Pat2-C1,CE-Pat2-C1-03
Pat2-C2,CE-Pat2-C2-01
Pat2-C2,CE-Pat2-C2-02
Pat3-C1,CE-Pat3-C1-01
Pat3-C1,CE-Pat3-C1-02
Pat3-C1,CE-Pat3-C1-03
Pat3-C2,CE-Pat3-C2-01
Pat3-C2,CE-Pat3-C2-02
Pat4-C1,CE-Pat4-C1-01
Pat4-C1,CE-Pat4-C1-02
Pat4-C1,CE-Pat4-C1-03
Pat5-C1,CE-Pat5-C1-01
Pat5-C1,CE-Pat5-C1-02
Pat5-C1,CE-Pat5-C1-03
Pat5-C1,CE-Pat5-C1-04
Pat5-C2,CE-Pat5-C2-01
Pat5-C2,CE-Pat5-C2-02
Pat5-C3,CE-Pat5-C3-01
Pat5-C3,CE-Pat5-C3-02
Pat5-C4,CE-Pat5-C4-01
Pat5-C4,CE-Pat5-C4-02
Pat6-C1,CE-Pat6-C1-01
Pat6-C1,CE-Pat6-C1-02
Pat6-C1,CE-Pat6-C1-03
Pat6-C1,CE-Pat6-C1-04
Pat6-C2,CE-Pat6-C2-01
Pat6-C2,CE-Pat6-C2-02
Pat6-C3,CE-Pat6-C3-01
Pat6-C3,CE-Pat6-C3-02
Pat7-C1,CE-Pat7-C1-01
Pat7-C1,CE-Pat7-C1-02
Pat7-C1,CE-Pat7-C1-03
Pat7-C1,CE-Pat7-C1-04
Pat8-C1,CE-Pat8-C1-01
Pat8-C1,CE-Pat8-C1-02
Pat8-C1,CE-Pat8-C1-03
