feature_id,element_id,confidence
FEAT-001,CE-Pat1-C1-01,0.95
FEAT-002,CE-Pat1-C1-02,0.92
FEAT-004,CE-Pat1-C1-03,0.9
FEAT-001,CE-Pat1-C3-01,0.88
FEAT-005,CE-Pat1-C3-02,0.91
FEAT-002,CE-Pat1-C3-03,0.87
FEAT-003,CE-Pat5-C1-01,0.85
FEAT-006,CE-Pat5-C1-02,0.72
FEAT-005,CE-Pat5-C1-03,0.8
FEAT-003,CE-Pat6-C1-01,0.78
FEAT-006,CE-Pat6-C1-02,0.82
FEAT-006,CE-Pat6-C1-03,0.88
FEAT-005,CE-Pat6-C1-04,0.65
FEAT-007,CE-Pat2-C1-01,0.8
FEAT-009,CE-Pat2-C1-03,0.6
FEAT-011,CE-Pat1-C1-01,0.75
FEAT-011,CE-Pat1-C1-02,0.85
FEAT-015,CE-Pat1-C1-03,0.35
FEAT-013,CE-Pat5-C1-03,0.7
FEAT-012,CE-Pat5-C1-04,0.9
FEAT-014,CE-Pat3-C2-01,0.82
FEAT-002,CE-Pat1-C4-01,0.7
FEAT-002,CE-Pat1-C4-02,0.75
FEAT-003,CE-Pat5-C2-01,0.68
FEAT-006,CE-Pat6-C2-01,0.85
FEAT-006,CE-Pat6-C2-02,0.8
