part_id,equipment_id,health
8444-c0,8444,0.8704
8444-c1,8444,0.9171
8444-c2,8444,0.9731
7998-c0,7998,0.3177
7998-c1,7998,0.4225
7998-c2,7998,0.5029
4666-c0,4666,0.3117
4666-c1,4666,0.4009
4666-c2,4666,0.5157
5910-c0,5910,0.3514
5910-c1,5910,0.4989
5910-c2,5910,0.5694
1659-c0,1659,0.8689
1659-c1,1659,0.9103
1659-c2,1659,0.9646
8839-c0,8839,0.8663
8839-c1,8839,0.8937
8839-c2,8839,0.9721
1392-c0,1392,0.3617
1392-c1,1392,0.4112
1392-c2,1392,0.5070
8192-c0,8192,0.8547
8192-c1,8192,0.9379
8192-c2,8192,0.9354
6156-c0,6156,0.8813
6156-c1,6156,0.9385
6156-c2,6156,0.9318
9341-c0,9341,0.8693
9341-c1,9341,0.9139
9341-c2,9341,0.9758
2809-c0,2809,0.8594
2809-c1,2809,0.9029
2809-c2,2809,0.9424
939-c0,939,0.8525
939-c1,939,0.9237
939-c2,939,0.9708
4597-c0,4597,0.3436
4597-c1,4597,0.4038
4597-c2,4597,0.5714
8676-c0,8676,0.8869
8676-c1,8676,0.9227
8676-c2,8676,0.9464
4815-c0,4815,0.3830
4815-c1,4815,0.4631
4815-c2,4815,0.5590
4633-c0,4633,0.3541
4633-c1,4633,0.4233
4633-c2,4633,0.5456
1285-c0,1285,0.3794
1285-c1,1285,0.4684
1285-c2,1285,0.5346
561-c0,561,0.8910
561-c1,561,0.9320
561-c2,561,0.9322
5614-c0,5614,0.8579
5614-c1,5614,0.9012
5614-c2,5614,0.9307
4139-c0,4139,0.3753
4139-c1,4139,0.4647
4139-c2,4139,0.5543
4807-c0,4807,0.8997
4807-c1,4807,0.9078
4807-c2,4807,0.9400
8196-c0,8196,0.3112
8196-c1,8196,0.4340
8196-c2,8196,0.5838
4685-c0,4685,0.3607
4685-c1,4685,0.4059
4685-c2,4685,0.5433
6075-c0,6075,0.8524
6075-c1,6075,0.9212
6075-c2,6075,0.9361
6779-c0,6779,0.8590
6779-c1,6779,0.9221
6779-c2,6779,0.9718
3599-c0,3599,0.8810
3599-c1,3599,0.9047
3599-c2,3599,0.9623
1789-c0,1789,0.8636
1789-c1,1789,0.8903
1789-c2,1789,0.9437
3815-c0,3815,0.3688
3815-c1,3815,0.4626
3815-c2,3815,0.5193
4343-c0,4343,0.3841
4343-c1,4343,0.4831
4343-c2,4343,0.5279
4386-c0,4386,0.3961
4386-c1,4386,0.4263
4386-c2,4386,0.5065
8085-c0,8085,0.8756
8085-c1,8085,0.9332
8085-c2,8085,0.9600
4693-c0,4693,0.8773
4693-c1,4693,0.9144
4693-c2,4693,0.9442
3282-c0,3282,0.8650
3282-c1,3282,0.9102
3282-c2,3282,0.9574
6225-c0,6225,0.8971
6225-c1,6225,0.8936
6225-c2,6225,0.9426
5175-c0,5175,0.8972
5175-c1,5175,0.9229
5175-c2,5175,0.9337
5001-c0,5001,0.8721
5001-c1,5001,0.9225
5001-c2,5001,0.9756
4362-c0,4362,0.3084
4362-c1,4362,0.4902
4362-c2,4362,0.5771
9606-c0,9606,0.8639
9606-c1,9606,0.9167
9606-c2,9606,0.9713
848-c0,848,0.3243
848-c1,848,0.4701
848-c2,848,0.5560
8470-c0,8470,0.8537
8470-c1,8470,0.9036
8470-c2,8470,0.9506
4286-c0,4286,0.3140
4286-c1,4286,0.4944
4286-c2,4286,0.5250
8969-c0,8969,0.8616
8969-c1,8969,0.9199
8969-c2,8969,0.9564
4449-c0,4449,0.3319
4449-c1,4449,0.4325
4449-c2,4449,0.5497
3001-c0,3001,0.3909
3001-c1,3001,0.4079
3001-c2,3001,0.5912
9655-c0,9655,0.3938
9655-c1,9655,0.4683
9655-c2,9655,0.5803
2272-c0,2272,0.8691
2272-c1,2272,0.9381
2272-c2,2272,0.9671
4390-c0,4390,0.3687
4390-c1,4390,0.4449
4390-c2,4390,0.5221
7790-c0,7790,0.8846
7790-c1,7790,0.9268
7790-c2,7790,0.9303
4852-c0,4852,0.3311
4852-c1,4852,0.4536
4852-c2,4852,0.5212
7869-c0,7869,0.8565
7869-c1,7869,0.8994
7869-c2,7869,0.9308
4580-c0,4580,0.3121
4580-c1,4580,0.4391
4580-c2,4580,0.5501
2076-c0,2076,0.3638
2076-c1,2076,0.4308
2076-c2,2076,0.5128
1764-c0,1764,0.3920
1764-c1,1764,0.4632
1764-c2,1764,0.5679
4545-c0,4545,0.3689
4545-c1,4545,0.4322
4545-c2,4545,0.5594
2880-c0,2880,0.3319
2880-c1,2880,0.4653
2880-c2,2880,0.5818
7764-c0,7764,0.3016
7764-c1,7764,0.4796
7764-c2,7764,0.5117
8609-c0,8609,0.3016
8609-c1,8609,0.4075
8609-c2,8609,0.5562
3486-c0,3486,0.8929
3486-c1,3486,0.9363
3486-c2,3486,0.9379
4771-c0,4771,0.3429
4771-c1,4771,0.4942
4771-c2,4771,0.5888
2557-c0,2557,0.8913
2557-c1,2557,0.9024
2557-c2,2557,0.9437
