udi,product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,actual_failed,twf_label,hdf_label,pwf_label,osf_label,rnf_label
8444,M23303,M,298.6,309.9,1668,32.3,6,false,0,0,0,0,0
7998,M22857,M,301.0,312.2,2710,9.7,143,true,0,0,1,0,0
4666,M19525,M,303.4,311.4,1307,54.0,44,true,0,1,0,0,0
5910,H35323,H,300.7,310.2,1364,65.3,208,true,1,0,1,1,0
1659,H31072,H,298.1,308,1570,35.3,159,false,0,0,0,0,0
8839,L56018,L,297.5,309,1320,54.7,179,false,0,0,0,0,0
1392,L48571,L,298.9,310.2,2737,8.8,142,true,0,0,1,0,0
8192,M23051,M,299.6,310.9,1630,29.8,206,false,0,0,0,0,0
6156,L53335,L,301.0,311,1634,31.2,182,false,0,0,0,0,0
9341,H38754,H,298.4,308.9,1577,37.1,0,false,0,0,0,0,0
2809,L49988,L,299.9,309.3,1471,41.8,109,false,0,0,0,0,0
939,L48118,L,295.6,306.2,1823,25.8,29,false,0,0,0,0,0
4597,L51776,L,303.0,311.2,1361,47.6,106,true,0,1,0,0,0
8676,H38089,H,297.3,308.6,1688,29.4,166,false,0,0,0,0,0
4815,L51994,L,303.4,311.8,1401,53.0,208,true,0,0,0,1,0
4633,M19492,M,302.9,311.2,1330,53.7,200,true,0,1,0,0,0
1285,L48464,L,298.4,309.5,2153,15.3,98,true,0,0,1,0,0
561,L47740,L,297.5,309.4,1318,58.2,146,false,0,0,0,0,0
5614,M20473,M,303.0,312.3,1483,38.8,114,false,0,0,0,0,0
4139,L51318,L,301.7,310.2,1311,57.4,40,true,0,1,0,0,0
4807,H34220,H,303.6,312.5,1375,54.0,186,false,0,0,0,0,0
8196,L55375,L,299.4,310.8,1376,53.9,215,true,0,0,0,1,0
4685,M19544,M,303.6,311.8,1421,44.8,101,true,0,0,0,0,0
6075,M20934,M,301.0,310.8,1533,39.3,194,false,0,0,0,0,0
6779,M21638,M,301.3,310.7,1819,25.5,46,false,0,0,0,0,0
3599,L50778,L,301.7,310.5,1399,53.2,174,false,0,0,0,0,0
1789,L48968,L,298.3,308,1442,47.3,65,false,0,0,0,0,0
3815,M18674,M,302.1,310.6,1326,59.1,88,true,0,1,0,0,0
4343,M19202,M,301.7,309.8,1284,68.2,111,true,0,1,1,0,0
4386,L51565,L,301.8,309.7,1442,45.3,233,true,1,0,0,0,0
8085,L55264,L,300.2,311.4,1483,44.4,141,false,0,0,0,0,0
4693,M19552,M,303.4,311.4,1606,29.6,122,false,0,0,0,0,0
3282,M18141,M,301.2,310,1445,45.6,18,false,0,0,0,0,0
6225,L53404,L,301.2,311,1612,32.9,129,false,0,0,0,0,0
5175,M20034,M,304.2,313.5,1390,47.8,83,false,0,0,0,0,0
5001,L52180,L,303.7,312.8,1832,23.6,35,false,0,0,0,0,0
4362,M19221,M,302.1,310.1,1379,48.2,166,true,0,1,0,0,0
9606,M24465,M,298.9,310.1,1484,37.9,73,false,0,0,0,0,0
848,L48027,L,296.4,307.4,2833,5.6,213,true,0,0,1,0,0
8470,M23329,M,298.6,309.7,1280,64.1,71,false,0,0,0,0,0
4286,L51465,L,301.7,309.9,1317,49.0,187,true,0,1,0,0,0
8969,L56148,L,297.1,307.8,1454,50.6,94,false,0,0,0,0,0
4449,L51628,L,302.4,310.3,1374,51.2,163,true,0,1,0,0,0
3001,H32414,H,300.5,309.8,1324,72.8,159,true,0,0,1,0,0
9655,L56834,L,299.1,310,1367,56.3,203,true,0,0,0,1,0
2272,L49451,L,299.2,308.5,1821,26.1,69,false,0,0,0,0,0
4390,M19249,M,302.1,310,1355,45.1,6,true,0,1,0,0,0
7790,L54969,L,300.2,311.5,1495,38.5,69,false,0,0,0,0,0
4852,L52031,L,303.7,312.1,1363,51.8,90,true,0,1,0,0,0
7869,H37282,H,300.4,311.9,1438,46.7,41,false,0,0,0,0,1
4580,L51759,L,303.0,311.2,1374,48.2,65,true,0,1,0,0,0
2076,L49255,L,299.5,309.4,1390,58.8,195,true,0,0,0,1,0
1764,L48943,L,298.2,307.6,1511,31.0,209,true,1,0,0,0,0
4545,L51724,L,302.5,310.4,1349,55.1,187,true,0,1,0,0,0
2880,M17739,M,300.6,309.4,1367,63.2,45,true,0,0,1,0,0
7764,L54943,L,300.4,311.6,1200,76.6,3,true,0,0,1,0,0
8609,L55788,L,297.4,308.4,1369,50.6,220,true,0,0,0,1,0
3486,L50665,L,301.9,310.8,1427,47.7,92,false,0,0,0,0,0
4771,L51950,L,303.5,311.9,1344,49.3,93,true,0,1,0,0,0
2557,M17416,M,299.3,309.1,1449,47.9,131,false,0,0,0,0,0
