upstream_id,downstream_id
2809,2076
2809,2557
2809,4286
2809,4343
2809,4771
2809,6156
2809,9606
2809,4139
2809,4597
2809,8085
2809,4633
2809,1789
2809,1285
2809,8839
2809,5175
3001,2076
3001,2557
3001,4286
3001,4343
3001,4771
3001,6156
3001,9606
3001,4139
3001,4597
3001,8085
3001,4633
3001,1789
3001,1285
3001,8839
3001,5175
8609,2076
8609,2557
8609,4286
8609,4343
8609,4771
8609,6156
8609,9606
8609,4139
8609,4597
8609,8085
8609,4633
8609,1789
8609,1285
8609,8839
8609,5175
4685,2076
4685,2557
4685,4286
4685,4343
4685,4771
4685,6156
4685,9606
4685,4139
4685,4597
4685,8085
4685,4633
4685,1789
4685,1285
4685,8839
4685,5175
2272,2076
2272,2557
2272,4286
2272,4343
2272,4771
2272,6156
2272,9606
2272,4139
2272,4597
2272,8085
2272,4633
2272,1789
2272,1285
2272,8839
2272,5175
6225,2076
6225,2557
6225,4286
6225,4343
6225,4771
6225,6156
6225,9606
6225,4139
6225,4597
6225,8085
6225,4633
6225,1789
6225,1285
6225,8839
6225,5175
4807,2076
4807,2557
4807,4286
4807,4343
4807,4771
4807,6156
4807,9606
4807,4139
4807,4597
4807,8085
4807,4633
4807,1789
4807,1285
4807,8839
4807,5175
8969,2076
8969,2557
8969,4286
8969,4343
8969,4771
8969,6156
8969,9606
8969,4139
8969,4597
8969,8085
8969,4633
8969,1789
8969,1285
8969,8839
8969,5175
4815,2076
4815,2557
4815,4286
4815,4343
4815,4771
4815,6156
4815,9606
4815,4139
4815,4597
4815,8085
4815,4633
4815,1789
4815,1285
4815,8839
4815,5175
4390,2076
4390,2557
4390,4286
4390,4343
4390,4771
4390,6156
4390,9606
4390,4139
4390,4597
4390,8085
4390,4633
4390,1789
4390,1285
4390,8839
4390,5175
561,2076
561,2557
561,4286
561,4343
561,4771
561,6156
561,9606
561,4139
561,4597
561,8085
561,4633
561,1789
561,1285
561,8839
561,5175
8676,2076
8676,2557
8676,4286
8676,4343
8676,4771
8676,6156
8676,9606
8676,4139
8676,4597
8676,8085
8676,4633
8676,1789
8676,1285
8676,8839
8676,5175
8196,2076
8196,2557
8196,4286
8196,4343
8196,4771
8196,6156
8196,9606
8196,4139
8196,4597
8196,8085
8196,4633
8196,1789
8196,1285
8196,8839
8196,5175
8444,2076
8444,2557
8444,4286
8444,4343
8444,4771
8444,6156
8444,9606
8444,4139
8444,4597
8444,8085
8444,4633
8444,1789
8444,1285
8444,8839
8444,5175
7764,2076
7764,2557
7764,4286
7764,4343
7764,4771
7764,6156
7764,9606
7764,4139
7764,4597
7764,8085
7764,4633
7764,1789
7764,1285
7764,8839
7764,5175
