lot_id,row_index,yield_outcome,test_timestamp,feature_id,module,tool_id,value,zscore_vs_pass,direction,severity
LOT_0002,1,PASS,2008-07-19T12:32:00,F511,test,test-tool-07,141.43650000,2.43293702,high,medium
LOT_0003,2,FAIL,2008-07-19T13:17:00,F060,lithography,lithography-tool-04,23.82450000,2.28369641,high,medium
LOT_0003,2,FAIL,2008-07-19T13:17:00,F104,etch,etch-tool-08,-0.00260000,2.44278424,high,medium
LOT_0003,2,FAIL,2008-07-19T13:17:00,F511,test,test-tool-07,240.77670000,5.21109583,high,high
LOT_0004,3,PASS,2008-07-19T14:43:00,F060,lithography,lithography-tool-04,24.37910000,2.34326726,high,medium
LOT_0004,3,PASS,2008-07-19T14:43:00,F122,etch,etch-tool-02,15.55000000,-2.45115896,low,medium
LOT_0005,4,PASS,2008-07-19T15:22:00,F511,test,test-tool-07,148.06630000,2.61834673,high,medium
LOT_0006,5,PASS,2008-07-19T17:53:00,F029,lithography,lithography-tool-05,62.37780000,-2.09149959,low,medium
LOT_0006,5,PASS,2008-07-19T17:53:00,F060,lithography,lithography-tool-04,28.29550000,2.76393673,high,medium
LOT_0007,6,PASS,2008-07-19T19:44:00,F029,lithography,lithography-tool-05,60.80000000,-2.54854416,low,medium
LOT_0007,6,PASS,2008-07-19T19:44:00,F511,test,test-tool-07,159.52380000,2.93876841,high,medium
LOT_0008,7,PASS,2008-07-19T19:45:00,F060,lithography,lithography-tool-04,29.13090000,2.85366895,high,medium
LOT_0008,7,PASS,2008-07-19T19:45:00,F128,etch,etch-tool-08,0.32730000,-2.36523196,low,medium
LOT_0009,8,PASS,2008-07-19T20:24:00,F022,lithography,lithography-tool-06,-4196.50000000,2.42578862,high,medium
LOT_0009,8,PASS,2008-07-19T20:24:00,F060,lithography,lithography-tool-04,26.97910000,2.62253920,high,medium
LOT_0009,8,PASS,2008-07-19T20:24:00,F128,etch,etch-tool-08,0.32730000,-2.36523196,low,medium
LOT_0009,8,PASS,2008-07-19T20:24:00,F299,implant,implant-tool-03,0.45530000,6.60779719,high,high
LOT_0009,8,PASS,2008-07-19T20:24:00,F432,cmp,cmp-tool-08,140.81090000,3.75868277,high,high
LOT_0009,8,PASS,2008-07-19T20:24:00,F453,cmp,cmp-tool-05,3.47670000,-2.04138070,low,medium
LOT_0009,8,PASS,2008-07-19T20:24:00,F511,test,test-tool-07,138.58270000,2.35312734,high,medium
LOT_0010,9,PASS,2008-07-19T21:35:00,F060,lithography,lithography-tool-04,28.31180000,2.76568755,high,medium
LOT_0010,9,PASS,2008-07-19T21:35:00,F128,etch,etch-tool-08,0.32730000,-2.36523196,low,medium
LOT_0011,10,FAIL,2008-07-19T21:57:00,F022,lithography,lithography-tool-06,-2727.50000000,4.90053718,high,high
LOT_0011,10,FAIL,2008-07-19T21:57:00,F060,lithography,lithography-tool-04,27.83730000,2.71472042,high,medium
LOT_0011,10,FAIL,2008-07-19T21:57:00,F299,implant,implant-tool-03,0.52550000,7.78739306,high,high
LOT_0011,10,FAIL,2008-07-19T21:57:00,F432,cmp,cmp-tool-08,210.14290000,5.93722893,high,high
LOT_0012,11,FAIL,2008-07-19T22:52:00,F060,lithography,lithography-tool-04,25.08360000,2.41893922,high,medium
LOT_0013,12,PASS,2008-07-20T03:35:00,F060,lithography,lithography-tool-04,22.62270000,2.15460833,high,medium
LOT_0014,13,PASS,2008-07-21T08:21:00,F349,implant,implant-tool-05,0.04730000,2.22482352,high,medium
LOT_0015,14,FAIL,2008-07-21T11:53:00,F022,lithography,lithography-tool-06,-1431.50000000,7.08384157,high,high
LOT_0015,14,FAIL,2008-07-21T11:53:00,F029,lithography,lithography-tool-05,62.50000000,-2.05610166,low,medium
LOT_0015,14,FAIL,2008-07-21T11:53:00,F299,implant,implant-tool-03,0.46550000,6.77919146,high,high
LOT_0015,14,FAIL,2008-07-21T11:53:00,F432,cmp,cmp-tool-08,400.00000000,11.90290794,high,high
LOT_0016,15,PASS,2008-07-22T00:03:00,F022,lithography,lithography-tool-06,-2694.75000000,4.95570942,high,high
LOT_0016,15,PASS,2008-07-22T00:03:00,F029,lithography,lithography-tool-05,61.23330000,-2.42302926,low,medium
LOT_0016,15,PASS,2008-07-22T00:03:00,F104,etch,etch-tool-08,-0.00310000,2.27575997,high,medium
LOT_0016,15,PASS,2008-07-22T00:03:00,F299,implant,implant-tool-03,0.52020000,7.69833525,high,high
LOT_0016,15,PASS,2008-07-22T00:03:00,F432,cmp,cmp-tool-08,239.11940000,6.84772687,high,high
LOT_0016,15,PASS,2008-07-22T00:03:00,F511,test,test-tool-07,263.45380000,5.84528607,high,high
LOT_0018,17,PASS,2008-07-22T08:41:00,F029,lithography,lithography-tool-05,60.24440000,-2.70948596,low,medium
LOT_0020,19,PASS,2008-07-22T14:00:00,F060,lithography,lithography-tool-04,22.47360000,2.13859316,high,medium
LOT_0020,19,PASS,2008-07-22T14:00:00,F104,etch,etch-tool-08,-0.00160000,2.77683277,high,medium
LOT_0020,19,PASS,2008-07-22T14:00:00,F511,test,test-tool-07,349.20630000,8.24344979,high,high
LOT_0024,23,FAIL,2008-07-25T15:23:00,F022,lithography,lithography-tool-06,-2664.25000000,5.00709120,high,high
LOT_0024,23,FAIL,2008-07-25T15:23:00,F029,lithography,lithography-tool-05,62.50000000,-2.05610166,low,medium
LOT_0024,23,FAIL,2008-07-25T15:23:00,F125,etch,etch-tool-05,16.03000000,2.09659037,high,medium
LOT_0024,23,FAIL,2008-07-25T15:23:00,F299,implant,implant-tool-03,0.51150000,7.55214602,high,high
LOT_0024,23,FAIL,2008-07-25T15:23:00,F432,cmp,cmp-tool-08,234.95460000,6.71686076,high,high
LOT_0025,24,PASS,2008-07-27T04:18:00,F022,lithography,lithography-tool-06,-2681.75000000,4.97760985,high,high
LOT_0025,24,PASS,2008-07-27T04:18:00,F123,etch,etch-tool-03,1.87700000,-2.23443396,low,medium
LOT_0025,24,PASS,2008-07-27T04:18:00,F128,etch,etch-tool-08,0.33950000,-2.27614211,low,medium
LOT_0025,24,PASS,2008-07-27T04:18:00,F299,implant,implant-tool-03,0.51150000,7.55214602,high,high
LOT_0025,24,PASS,2008-07-27T04:18:00,F349,implant,implant-tool-05,0.05020000,2.50523122,high,medium
LOT_0025,24,PASS,2008-07-27T04:18:00,F432,cmp,cmp-tool-08,209.18960000,5.90727439,high,high
LOT_0026,25,PASS,2008-07-27T09:37:00,F022,lithography,lithography-tool-06,-2706.00000000,4.93675712,high,high
LOT_0026,25,PASS,2008-07-27T09:37:00,F299,implant,implant-tool-03,0.52280000,7.74202399,high,high
LOT_0026,25,PASS,2008-07-27T09:37:00,F432,cmp,cmp-tool-08,228.32440000,6.50852699,high,high
LOT_0028,27,PASS,2008-07-27T15:46:00,F125,etch,etch-tool-05,16.05000000,2.27265334,high,medium
LOT_0028,27,PASS,2008-07-27T15:46:00,F349,implant,implant-tool-05,0.04610000,2.10879275,high,medium
LOT_0029,28,PASS,2008-07-27T16:06:00,F349,implant,implant-tool-05,0.05390000,2.86299276,high,medium
LOT_0030,29,PASS,2008-07-27T16:49:00,F126,etch,etch-tool-06,0.60550000,-2.06937594,low,medium
LOT_0030,29,PASS,2008-07-27T16:49:00,F349,implant,implant-tool-05,0.04870000,2.36019275,high,medium
LOT_0031,30,PASS,2008-07-27T20:24:00,F060,lithography,lithography-tool-04,29.51090000,2.89448562,high,medium
LOT_0031,30,PASS,2008-07-27T20:24:00,F125,etch,etch-tool-05,16.05000000,2.27265334,high,medium
LOT_0031,30,PASS,2008-07-27T20:24:00,F349,implant,implant-tool-05,0.05600000,3.06604661,high,high
LOT_0032,31,PASS,2008-07-27T22:28:00,F349,implant,implant-tool-05,0.04630000,2.12813121,high,medium
LOT_0033,32,PASS,2008-07-27T22:28:00,F029,lithography,lithography-tool-05,62.66670000,-2.00781333,low,medium
LOT_0033,32,PASS,2008-07-27T22:28:00,F126,etch,etch-tool-06,0.31220000,-3.10556842,low,high
LOT_0034,33,PASS,2008-07-27T23:14:00,F022,lithography,lithography-tool-06,-2622.50000000,5.07742527,high,high
LOT_0034,33,PASS,2008-07-27T23:14:00,F126,etch,etch-tool-06,0.31220000,-3.10556842,low,high
LOT_0034,33,PASS,2008-07-27T23:14:00,F299,implant,implant-tool-03,0.51540000,7.61767912,high,high
LOT_0034,33,PASS,2008-07-27T23:14:00,F432,cmp,cmp-tool-08,226.51610000,6.45170669,high,high
LOT_0035,34,PASS,2008-07-28T03:31:00,F126,etch,etch-tool-06,0.60550000,-2.06937594,low,medium
LOT_0036,35,PASS,2008-07-28T03:48:00,F126,etch,etch-tool-06,0.31220000,-3.10556842,low,high
LOT_0037,36,PASS,2008-07-28T04:37:00,F022,lithography,lithography-tool-06,-1362.00000000,7.20092464,high,high
LOT_0037,36,PASS,2008-07-28T04:37:00,F126,etch,etch-tool-06,0.60550000,-2.06937594,low,medium
LOT_0037,36,PASS,2008-07-28T04:37:00,F299,implant,implant-tool-03,0.44800000,6.48513266,high,high
LOT_0037,36,PASS,2008-07-28T04:37:00,F349,implant,implant-tool-05,0.04660000,2.15713890,high,medium
LOT_0037,36,PASS,2008-07-28T04:37:00,F432,cmp,cmp-tool-08,400.00000000,11.90290794,high,high
LOT_0038,37,PASS,2008-07-28T05:36:00,F126,etch,etch-tool-06,0.60550000,-2.06937594,low,medium
LOT_0039,38,FAIL,2008-07-28T06:45:00,F060,lithography,lithography-tool-04,24.90270000,2.39950833,high,medium
LOT_0039,38,FAIL,2008-07-28T06:45:00,F104,etch,etch-tool-08,-0.00330000,2.20895026,high,medium
LOT_0039,38,FAIL,2008-07-28T06:45:00,F126,etch,etch-tool-06,0.60550000,-2.06937594,low,medium
LOT_0039,38,FAIL,2008-07-28T06:45:00,F511,test,test-tool-07,172.07550000,3.28979062,high,high
LOT_0040,39,PASS,2008-07-28T08:36:00,F060,lithography,lithography-tool-04,23.47360000,2.24600544,high,medium
LOT_0041,40,FAIL,2008-07-28T15:11:00,F126,etch,etch-tool-06,0.60550000,-2.06937594,low,medium
LOT_0041,40,FAIL,2008-07-28T15:11:00,F432,cmp,cmp-tool-08,119.35600000,3.08452812,high,high
LOT_0042,41,PASS,2008-07-28T23:57:00,F126,etch,etch-tool-06,0.31220000,-3.10556842,low,high
LOT_0043,42,PASS,2008-07-29T04:08:00,F029,lithography,lithography-tool-05,62.28890000,-2.11725143,low,medium
LOT_0043,42,PASS,2008-07-29T04:08:00,F126,etch,etch-tool-06,0.31220000,-3.10556842,low,high
LOT_0044,43,PASS,2008-07-29T05:16:00,F125,etch,etch-tool-05,16.10000000,2.71281078,high,medium
LOT_0044,43,PASS,2008-07-29T05:16:00,F349,implant,implant-tool-05,0.05280000,2.75663122,high,medium
LOT_0045,44,PASS,2008-07-29T06:19:00,F029,lithography,lithography-tool-05,60.84440000,-2.53568272,low,medium
LOT_0045,44,PASS,2008-07-29T06:19:00,F299,implant,implant-tool-03,0.44950000,6.51033770,high,high
LOT_0045,44,PASS,2008-07-29T06:19:00,F432,cmp,cmp-tool-08,154.01440000,4.17356239,high,high
LOT_0047,46,PASS,2008-07-29T11:47:00,F022,lithography,lithography-tool-06,-3281.00000000,3.96808427,high,high
LOT_0047,46,PASS,2008-07-29T11:47:00,F299,implant,implant-tool-03,0.50810000,7.49501459,high,high
LOT_0047,46,PASS,2008-07-29T11:47:00,F432,cmp,cmp-tool-08,215.98560000,6.12081792,high,high
LOT_0048,47,PASS,2008-07-29T15:41:00,F029,lithography,lithography-tool-05,61.86670000,-2.23955098,low,medium
LOT_0048,47,PASS,2008-07-29T15:41:00,F060,lithography,lithography-tool-04,23.13730000,2.20988269,high,medium
LOT_0048,47,PASS,2008-07-29T15:41:00,F299,implant,implant-tool-03,0.44710000,6.47000963,high,high
LOT_0048,47,PASS,2008-07-29T15:41:00,F432,cmp,cmp-tool-08,150.82760000,4.07342695,high,high
LOT_0049,48,FAIL,2008-07-29T15:49:00,F060,lithography,lithography-tool-04,25.03820000,2.41406270,high,medium
LOT_0050,49,FAIL,2008-07-29T17:05:00,F060,lithography,lithography-tool-04,23.31090000,2.22852946,high,medium
LOT_0051,50,FAIL,2008-07-29T18:08:00,F060,lithography,lithography-tool-04,23.95550000,2.29776742,high,medium
LOT_0052,51,PASS,2008-07-29T21:07:00,F022,lithography,lithography-tool-06,-2575.50000000,5.15660375,high,high
LOT_0052,51,PASS,2008-07-29T21:07:00,F060,lithography,lithography-tool-04,21.39000000,2.02220121,high,medium
LOT_0052,51,PASS,2008-07-29T21:07:00,F299,implant,implant-tool-03,0.50510000,7.44460451,high,high
LOT_0052,51,PASS,2008-07-29T21:07:00,F432,cmp,cmp-tool-08,213.27290000,6.03557961,high,high
LOT_0054,53,PASS,2008-07-29T23:19:00,F453,cmp,cmp-tool-05,3.46530000,-2.05370023,low,medium
LOT_0055,54,PASS,2008-07-30T06:30:00,F029,lithography,lithography-tool-05,62.36670000,-2.09471494,low,medium
