feature_id,feature_index,module,tool_id,selected,effect_size,non_null_pass,non_null_fail,mean_pass,std_pass,mean_fail,std_fail
F001,0,lithography,lithography-tool-01,false,0.09208871,1457,104,3014.94731640,72.43693798,3007.52625000,87.98361446
F002,1,lithography,lithography-tool-02,false,0.01111455,1457,103,2495.90611531,81.00566324,2495.05970874,70.96932125
F003,2,lithography,lithography-tool-03,false,0.00373217,1449,104,2200.55488558,29.38180055,2200.44187692,31.15158837
F004,3,lithography,lithography-tool-04,false,0.10947195,1449,104,1399.29029199,447.83033712,1355.78143462,339.66134540
F005,4,lithography,lithography-tool-05,false,0.07520453,1449,104,4.40469793,58.31854083,1.30340481,0.33476853
F006,5,lithography,lithography-tool-06,false,,1449,104,100.00000000,0.00000000,100.00000000,0.00000000
F007,6,lithography,lithography-tool-07,false,0.07129512,1449,104,101.08577322,6.31529964,101.49097212,4.97183278
F008,7,lithography,lithography-tool-08,false,0.06979083,1454,104,0.12179037,0.00925869,0.12225673,0.00189248
F009,8,lithography,lithography-tool-01,false,0.12296043,1461,104,1.46230945,0.07475757,1.47061923,0.05954562
F010,9,lithography,lithography-tool-02,false,0.13095237,1461,104,-0.00071526,0.01520158,-0.00260769,0.01365982
F011,10,lithography,lithography-tool-03,false,0.13083469,1461,104,0.00006229,0.00924609,0.00131827,0.00994088
F012,11,lithography,lithography-tool-04,false,0.14436243,1461,104,0.96446112,0.01260817,0.96283077,0.00980403
F013,12,lithography,lithography-tool-05,false,0.02631854,1461,104,199.96199514,3.29852148,199.88395769,2.58912223
F014,13,lithography,lithography-tool-06,false,,1460,104,0.00000000,0.00000000,0.00000000,0.00000000
F015,14,lithography,lithography-tool-07,false,0.28009675,1460,104,9.05684055,2.79294886,8.28281058,2.73360842
F016,15,lithography,lithography-tool-08,false,0.01465940,1460,104,413.09928973,17.70526622,412.89996538,7.50213682
F017,16,lithography,lithography-tool-01,false,0.01262657,1460,104,9.90609158,2.48268479,9.92881827,0.56180992
F018,17,lithography,lithography-tool-02,false,0.04682400,1460,104,0.97147514,0.01234036,0.97100577,0.00697712
F019,18,lithography,lithography-tool-03,false,0.03683382,1460,104,190.05392288,2.79476212,189.95513077,2.56449928
F020,19,lithography,lithography-tool-04,false,0.16319911,1454,103,12.47925605,0.22479127,12.50613204,0.06090429
F021,20,lithography,lithography-tool-05,false,0.09926019,1463,104,1.40495051,0.01687219,1.40651346,0.01453275
